Dates,States,Usage
18/02/2019 00:00:00,Haryana,125.1
19/02/2019 00:00:00,Haryana,127.3
20/02/2019 00:00:00,Haryana,118.2
21/02/2019 00:00:00,Haryana,165.3
22/02/2019 00:00:00,Haryana,173.6
23/02/2019 00:00:00,Haryana,179.3
24/02/2019 00:00:00,Haryana,185.9
25/02/2019 00:00:00,Haryana,189.1
26/02/2019 00:00:00,Haryana,188.4
27/02/2019 00:00:00,Haryana,182.0
28/02/2019 00:00:00,Haryana,123.5
02/03/2019 00:00:00,Haryana,116.3
03/03/2019 00:00:00,Haryana,123.1
04/03/2019 00:00:00,Haryana,124.0
05/03/2019 00:00:00,Haryana,125.6
06/03/2019 00:00:00,Haryana,124.7
07/03/2019 00:00:00,Haryana,116.3
08/03/2019 00:00:00,Haryana,186.0
09/03/2019 00:00:00,Haryana,204.4
10/03/2019 00:00:00,Haryana,217.0
11/03/2019 00:00:00,Haryana,214.8
12/03/2019 00:00:00,Haryana,214.0
13/03/2019 00:00:00,Haryana,218.3
14/03/2019 00:00:00,Haryana,194.6
15/03/2019 00:00:00,Haryana,87.9
16/03/2019 00:00:00,Haryana,86.6
17/03/2019 00:00:00,Haryana,93.4
18/03/2019 00:00:00,Haryana,102.4
19/03/2019 00:00:00,Haryana,108.4
20/03/2019 00:00:00,Haryana,114.4
21/03/2019 00:00:00,Haryana,112.5
22/03/2019 00:00:00,Haryana,114.5
23/03/2019 00:00:00,Haryana,114.2
24/03/2019 00:00:00,Haryana,108.2
25/03/2019 00:00:00,Haryana,100.3
26/03/2019 00:00:00,Haryana,109.9
27/03/2019 00:00:00,Haryana,108.5
28/03/2019 00:00:00,Haryana,97.7
29/03/2019 00:00:00,Haryana,117.7
30/03/2019 00:00:00,Haryana,123.4
31/03/2019 00:00:00,Haryana,124.6
02/04/2019 00:00:00,Haryana,126.3
03/04/2019 00:00:00,Haryana,129.4
04/04/2019 00:00:00,Haryana,127.6
05/04/2019 00:00:00,Haryana,113.9
06/04/2019 00:00:00,Haryana,117.4
07/04/2019 00:00:00,Haryana,117.4
08/04/2019 00:00:00,Haryana,117.2
09/04/2019 00:00:00,Haryana,117.2
10/04/2019 00:00:00,Haryana,123.7
11/04/2019 00:00:00,Haryana,111.9
12/04/2019 00:00:00,Haryana,95.0
13/04/2019 00:00:00,Haryana,197.7
14/04/2019 00:00:00,Haryana,209.8
15/04/2019 00:00:00,Haryana,219.4
16/04/2019 00:00:00,Haryana,219.1
17/04/2019 00:00:00,Haryana,219.7
18/04/2019 00:00:00,Haryana,224.5
19/04/2019 00:00:00,Haryana,211.8
20/04/2019 00:00:00,Haryana,120.5
21/04/2019 00:00:00,Haryana,124.7
22/04/2019 00:00:00,Haryana,124.8
23/04/2019 00:00:00,Haryana,123.0
24/04/2019 00:00:00,Haryana,123.0
25/04/2019 00:00:00,Haryana,108.0
26/04/2019 00:00:00,Haryana,94.5
27/04/2019 00:00:00,Haryana,125.5
28/04/2019 00:00:00,Haryana,131.1
29/04/2019 00:00:00,Haryana,132.1
30/04/2019 00:00:00,Haryana,134.5
02/05/2019 00:00:00,Haryana,133.6
03/05/2019 00:00:00,Haryana,133.0
04/05/2019 00:00:00,Haryana,124.6
05/05/2019 00:00:00,Haryana,179.6
06/05/2019 00:00:00,Haryana,186.1
07/05/2019 00:00:00,Haryana,185.6
08/05/2019 00:00:00,Haryana,184.2
09/05/2019 00:00:00,Haryana,179.5
10/05/2019 00:00:00,Haryana,169.3
11/05/2019 00:00:00,Haryana,143.0
12/05/2019 00:00:00,Haryana,194.3
13/05/2019 00:00:00,Haryana,211.3
14/05/2019 00:00:00,Haryana,208.1
15/05/2019 00:00:00,Haryana,183.2
16/05/2019 00:00:00,Haryana,177.2
