,Forecast
2021-07-14,3605.9132152003394
2021-07-15,3548.6624537149664
2021-07-16,3538.1750310305824
2021-07-17,3583.3267946230694
2021-07-18,3582.399795513021
2021-07-19,3531.783601847141
2021-07-20,3539.70917905377
2021-07-21,3607.6496878372172
2021-07-22,3550.3989263518442
2021-07-23,3539.9115036674602
2021-07-24,3585.063267259947
2021-07-25,3584.136268149899
2021-07-26,3533.520074484019
2021-07-27,3541.445651690648
2021-07-28,3609.386160474095
2021-07-29,3552.135398988722
2021-07-30,3541.647976304338
2021-07-31,3586.799739896825
2021-08-01,3585.872740786777
2021-08-02,3535.256547120897
2021-08-03,3543.182124327526
2021-08-04,3611.122633110973
2021-08-05,3553.8718716256
2021-08-06,3543.384448941216
2021-08-07,3588.536212533703
2021-08-08,3587.6092134236546
2021-08-09,3536.9930197577746
2021-08-10,3544.9185969644036
2021-08-11,3612.8591057478507
2021-08-12,3555.6083442624777
2021-08-13,3545.1209215780937
2021-08-14,3590.2726851705806
2021-08-15,3589.3456860605324
2021-08-16,3538.7294923946524
2021-08-17,3546.6550696012814
2021-08-18,3614.5955783847285
2021-08-19,3557.3448168993555
2021-08-20,3546.8573942149715
2021-08-21,3592.0091578074585
2021-08-22,3591.0821586974103
2021-08-23,3540.4659650315302
2021-08-24,3548.391542238159
2021-08-25,3616.3320510216063
2021-08-26,3559.0812895362333
2021-08-27,3548.5938668518493
2021-08-28,3593.7456304443363
2021-08-29,3592.818631334288
2021-08-30,3542.202437668408
2021-08-31,3550.128014875037
2021-09-01,3618.068523658484
2021-09-02,3560.817762173111
2021-09-03,3550.330339488727
2021-09-04,3595.482103081214
2021-09-05,3594.555103971166
2021-09-06,3543.938910305286
2021-09-07,3551.864487511915
2021-09-08,3619.804996295362
2021-09-09,3562.554234809989
2021-09-10,3552.066812125605
2021-09-11,3597.218575718092
2021-09-12,3596.2915766080437
2021-09-13,3545.6753829421637
2021-09-14,3553.6009601487926
2021-09-15,3621.5414689322397
2021-09-16,3564.2907074468667
2021-09-17,3553.8032847624827
2021-09-18,3598.9550483549697
2021-09-19,3598.0280492449215
2021-09-20,3547.4118555790415
2021-09-21,3555.3374327856704
2021-09-22,3623.2779415691175
2021-09-23,3566.0271800837445
2021-09-24,3555.5397573993605
2021-09-25,3600.6915209918475
2021-09-26,3599.7645218817993
2021-09-27,3549.1483282159193
2021-09-28,3557.0739054225483
2021-09-29,3625.0144142059953
2021-09-30,3567.7636527206223
2021-10-01,3557.2762300362383
2021-10-02,3602.4279936287253
2021-10-03,3601.500994518677
2021-10-04,3550.884800852797
2021-10-05,3558.810378059426
2021-10-06,3626.750886842873
2021-10-07,3569.5001253575
2021-10-08,3559.012702673116
2021-10-09,3604.164466265603
2021-10-10,3603.237467155555
2021-10-11,3552.621273489675
2021-10-12,3560.546850696304
2021-10-13,3628.487359479751
2021-10-14,3571.236597994378
2021-10-15,3560.749175309994
2021-10-16,3605.900938902481
2021-10-17,3604.9739397924327
2021-10-18,3554.3577461265527
2021-10-19,3562.2833233331817
2021-10-20,3630.2238321166287
2021-10-21,3572.9730706312557
2021-10-22,3562.4856479468717
2021-10-23,3607.6374115393587
2021-10-24,3606.7104124293105
2021-10-25,3556.0942187634305
2021-10-26,3564.0197959700595
2021-10-27,3631.9603047535065
2021-10-28,3574.7095432681335
2021-10-29,3564.2221205837495
2021-10-30,3609.3738841762365
2021-10-31,3608.4468850661883
2021-11-01,3557.8306914003083
2021-11-02,3565.7562686069373
2021-11-03,3633.6967773903843
2021-11-04,3576.4460159050113
2021-11-05,3565.9585932206273
2021-11-06,3611.1103568131143
2021-11-07,3610.183357703066
2021-11-08,3559.567164037186
2021-11-09,3567.492741243815
2021-11-10,3635.433250027262
2021-11-11,3578.182488541889
2021-11-12,3567.695065857505
2021-11-13,3612.846829449992
2021-11-14,3611.919830339944
2021-11-15,3561.303636674064
2021-11-16,3569.229213880693
2021-11-17,3637.16972266414
2021-11-18,3579.918961178767
2021-11-19,3569.431538494383
2021-11-20,3614.58330208687
2021-11-21,3613.6563029768217
2021-11-22,3563.0401093109417
2021-11-23,3570.9656865175707
2021-11-24,3638.9061953010178
2021-11-25,3581.6554338156448
2021-11-26,3571.1680111312608
2021-11-27,3616.3197747237477
2021-11-28,3615.3927756136995
2021-11-29,3564.7765819478195
2021-11-30,3572.7021591544485
2021-12-01,3640.6426679378956
2021-12-02,3583.3919064525226
2021-12-03,3572.9044837681386
2021-12-04,3618.0562473606255
2021-12-05,3617.1292482505773
2021-12-06,3566.5130545846973
2021-12-07,3574.4386317913263
2021-12-08,3642.3791405747734
2021-12-09,3585.1283790894004
2021-12-10,3574.6409564050164
2021-12-11,3619.7927199975034
2021-12-12,3618.865720887455
2021-12-13,3568.249527221575
2021-12-14,3576.175104428204
2021-12-15,3644.115613211651
2021-12-16,3586.864851726278
2021-12-17,3576.377429041894
2021-12-18,3621.529192634381
2021-12-19,3620.602193524333
2021-12-20,3569.985999858453
2021-12-21,3577.911577065082
2021-12-22,3645.852085848529
2021-12-23,3588.601324363156
2021-12-24,3578.113901678772
2021-12-25,3623.265665271259
2021-12-26,3622.3386661612108
2021-12-27,3571.7224724953307
2021-12-28,3579.6480497019597
2021-12-29,3647.588558485407
2021-12-30,3590.337797000034
2021-12-31,3579.85037431565
2022-01-01,3625.002137908137
2022-01-02,3624.0751387980886
2022-01-03,3573.4589451322086
2022-01-04,3581.3845223388375
2022-01-05,3649.3250311222846
2022-01-06,3592.0742696369116
2022-01-07,3581.5868469525276
2022-01-08,3626.7386105450146
2022-01-09,3625.8116114349664
2022-01-10,3575.1954177690864
2022-01-11,3583.1209949757153
2022-01-12,3651.0615037591624
2022-01-13,3593.8107422737894
2022-01-14,3583.3233195894054
2022-01-15,3628.4750831818924
2022-01-16,3627.548084071844
2022-01-17,3576.931890405964
2022-01-18,3584.857467612593
2022-01-19,3652.79797639604
2022-01-20,3595.547214910667
2022-01-21,3585.059792226283
2022-01-22,3630.21155581877
2022-01-23,3629.284556708722
2022-01-24,3578.668363042842
2022-01-25,3586.593940249471
2022-01-26,3654.534449032918
2022-01-27,3597.283687547545
2022-01-28,3586.796264863161
2022-01-29,3631.948028455648
2022-01-30,3631.0210293456
2022-01-31,3580.40483567972
2022-02-01,3588.3304128863488
2022-02-02,3656.270921669796
2022-02-03,3599.020160184423
2022-02-04,3588.532737500039
2022-02-05,3633.684501092526
2022-02-06,3632.7575019824776
2022-02-07,3582.1413083165976
2022-02-08,3590.0668855232266
2022-02-09,3658.0073943066736
2022-02-10,3600.7566328213006
2022-02-11,3590.2692101369166
2022-02-12,3635.4209737294036
2022-02-13,3634.4939746193554
2022-02-14,3583.8777809534754
2022-02-15,3591.8033581601044
2022-02-16,3659.7438669435514
2022-02-17,3602.4931054581784
2022-02-18,3592.0056827737944
2022-02-19,3637.1574463662814
2022-02-20,3636.230447256233
2022-02-21,3585.614253590353
2022-02-22,3593.539830796982
2022-02-23,3661.4803395804292
2022-02-24,3604.2295780950562
2022-02-25,3593.7421554106722
2022-02-26,3638.893919003159
2022-02-27,3637.966919893111
2022-02-28,3587.350726227231
2022-03-01,3595.27630343386
2022-03-02,3663.216812217307
2022-03-03,3605.966050731934
2022-03-04,3595.47862804755
2022-03-05,3640.630391640037
2022-03-06,3639.703392529989
2022-03-07,3589.087198864109
2022-03-08,3597.012776070738
2022-03-09,3664.953284854185
2022-03-10,3607.702523368812
2022-03-11,3597.215100684428
2022-03-12,3642.366864276915
2022-03-13,3641.4398651668666
2022-03-14,3590.8236715009866
2022-03-15,3598.7492487076156
2022-03-16,3666.6897574910627
2022-03-17,3609.4389960056897
2022-03-18,3598.9515733213057
